grupo,equipo,jugador
Grupo A,México,Santiago Giménez
Grupo A,México,Raúl Jiménez
Grupo A,México,Hirving Lozano
Grupo A,Sudáfrica,Sipho Mbule
Grupo A,Sudáfrica,Denzel Dumfries
Grupo A,Sudáfrica,Khulekani Khubone
Grupo A,Corea del Sur,Son Heung-Min
Grupo A,Corea del Sur,Lee Kang-In
Grupo A,Corea del Sur,Kim Min-Jae
Grupo A,República Checa,Patrik Schick
Grupo A,República Checa,Vladimír Krejčí
Grupo A,República Checa,Jakub Brabec
Grupo B,Canadá,Alphonso Davies
Grupo B,Canadá,Jonathan David
Grupo B,Canadá,Tajon Buchanan
Grupo B,Bosnia y Herzegovina,Edin Džeko
Grupo B,Bosnia y Herzegovina,Miralem Pjanić
Grupo B,Bosnia y Herzegovina,Sead Kolašinac
Grupo B,Qatar,Akram Afif
Grupo B,Qatar,Almoez Ali
Grupo B,Qatar,Pedro Miguel Correia
Grupo B,Suiza,Xherdan Shaqiri
Grupo B,Suiza,Granit Xhaka
Grupo B,Suiza,Manuel Akanji
Grupo C,Brasil,Neymar Jr.
Grupo C,Brasil,Vinícius Jr.
Grupo C,Brasil,Rodrygo Goes
Grupo C,Marruecos,Hakim Ziyech
Grupo C,Marruecos,Achraf Hakimi
Grupo C,Marruecos,Sofyan Amrabat
Grupo C,Haití,Duckens Nazon
Grupo C,Haití,Kenson Sévère
Grupo C,Haití,Johnathan Oméa
Grupo C,Escocia,Kieran Tierney
Grupo C,Escocia,John McGinn
Grupo C,Escocia,Andy Robertson
Grupo D,Estados Unidos,Christian Pulisic
Grupo D,Estados Unidos,Weston McKennie
Grupo D,Estados Unidos,Gio Reyna
Grupo D,Paraguay,Ángel Romero
Grupo D,Paraguay,Gustavo Gómez
Grupo D,Paraguay,Julio Enciso
Grupo D,Australia,Harry Souttar
Grupo D,Australia,Mitch Duke
Grupo D,Australia,Ajdin Hrustic
Grupo D,Turquía,Arda Güler
Grupo D,Turquía,Kenan Yildiz
Grupo D,Turquía,Cengiz Ünder
Grupo E,Alemania,Florian Wirtz
Grupo E,Alemania,Jamal Musiala
Grupo E,Alemania,Joshua Kimmich
Grupo E,Curazao,Rangelo Janga
Grupo E,Curazao,Coli David
Grupo E,Curazao,Anass Ahannach
Grupo E,Costa de Marfil,Nicolás Pépé
Grupo E,Costa de Marfil,Wilfried Zaha
Grupo E,Costa de Marfil,Serge Aurier
Grupo E,Ecuador,Enner Valencia
Grupo E,Ecuador,Alex Ibáñez
Grupo E,Ecuador,Moisés Caicedo
Grupo F,Países Bajos,Virgil van Dijk
Grupo F,Países Bajos,Xavi Simons
Grupo F,Países Bajos,Frenkie de Jong
Grupo F,Japón,Takehiro Tomiyasu
Grupo F,Japón,Takefusa Kubo
Grupo F,Japón,Maya Yoshida
Grupo F,Suecia,Alexander Isak
Grupo F,Suecia,Viktor Gyökeres
Grupo F,Suecia,Dejan Kulusevski
Grupo F,Túnez,Khazri Essaïdi
Grupo F,Túnez,Montassar Talbi
Grupo F,Túnez,Youssef Msakni
Grupo G,Bélgica,Romelu Lukaku
Grupo G,Bélgica,Kevin De Bruyne
Grupo G,Bélgica,Jeremy Doku
Grupo G,Egipto,Mohamed Salah
Grupo G,Egipto,Mohamed Elsayed
Grupo G,Egipto,Mahmoud Abdel-Moneim
Grupo G,Irán,Sardar Azmoun
Grupo G,Irán,Alireza Jahanbakhsh
Grupo G,Irán,Majid Hosseini
Grupo G,Nueva Zelanda,Chris Wood
Grupo G,Nueva Zelanda,Tommy Smith
Grupo G,Nueva Zelanda,Joe Bell
Grupo H,España,Lamine Yamal
Grupo H,España,Pedri
Grupo H,España,Rodri Hernández
Grupo H,Cabo Verde,Julio Tavares
Grupo H,Cabo Verde,Adilson Cabral
Grupo H,Cabo Verde,Spencer Lain
Grupo H,Arabia Saudita,Salem Al-Dawsari
Grupo H,Arabia Saudita,Abdullah Al-Shehri
Grupo H,Arabia Saudita,Salman Al-Faraj
Grupo H,Uruguay,Luis Suárez
Grupo H,Uruguay,Diego Godín
Grupo H,Uruguay,Edinson Cavani
Grupo I,Francia,Kylian Mbappé
Grupo I,Francia,Ousmane Dembélé
Grupo I,Francia,Aurélien Tchouaméni
Grupo I,Senegal,Sadio Mané
Grupo I,Senegal,Ismaïla Sarr
Grupo I,Senegal,Cheikhou Kouyaté
Grupo I,Irak,Younis Mahmoud
Grupo I,Irak,Ali Adnan
Grupo I,Irak,Mohanad Ali
Grupo I,Noruega,Erling Haaland
Grupo I,Noruega,Martin Ødegaard
Grupo I,Noruega,Sander Berge
Grupo J,Argentina,Lionel Messi
Grupo J,Argentina,Julián Álvarez
Grupo J,Argentina,Lautaro Martínez
Grupo J,Argelia,Riad Mahrez
Grupo J,Argelia,Islam Slimani
Grupo J,Argelia,Yacine Brahimi
Grupo J,Austria,Marko Arnautovic
Grupo J,Austria,David Alaba
Grupo J,Austria,Marcel Sabitzer
Grupo J,Jordania,Anas Bani-Yaseen
Grupo J,Jordania,Ali Nasser
Grupo J,Jordania,Omari al-Meer
Grupo K,Portugal,Cristiano Ronaldo
Grupo K,Portugal,Bruno Fernandes
Grupo K,Portugal,Bernardo Silva
Grupo K,RD Congo,Cédric Bakambu
Grupo K,RD Congo,Chancel Mbemba
Grupo K,RD Congo,Gael Kakuta
Grupo K,Uzbekistán,Mirabek Khaitov
Grupo K,Uzbekistán,Jaloliddin Masharipov
Grupo K,Uzbekistán,Aleksandr Korolov
Grupo K,Colombia,James Rodríguez
Grupo K,Colombia,Luis Díaz
Grupo K,Colombia,Duván Zapata
Grupo L,Inglaterra,Harry Kane
Grupo L,Inglaterra,Jude Bellingham
Grupo L,Inglaterra,Phil Foden
Grupo L,Croacia,Luka Modrić
Grupo L,Croacia,Ivan Perišić
Grupo L,Croacia,Mateo Kovačić
Grupo L,Ghana,Mohammed Kudus
Grupo L,Ghana,Iñaki Williams
Grupo L,Ghana,Osman Bukari
Grupo L,Panamá,Cecilio Waterman
Grupo L,Panamá,Éver Almeida
Grupo L,Panamá,Felipe Baloy
