grupo,equipo,jugador
Grupo A,México,Santiago Giménez
Grupo A,México,Raúl Jiménez
Grupo A,México,Hirving Lozano
Grupo A,México,Orbelín Pineda
Grupo A,México,Edson Álvarez
Grupo A,México,Julián Araujo
Grupo A,México,Jorge Sánchez
Grupo A,México,Jesús Gallardo
Grupo A,México,Erick Sánchez
Grupo A,México,Alexis Vega
Grupo A,Sudáfrica,Sipho Mbule
Grupo A,Sudáfrica,Grant De Jager
Grupo A,Sudáfrica,Lebogang Phiri
Grupo A,Sudáfrica,Khulekani Khubone
Grupo A,Sudáfrica,Andile Jali
Grupo A,Sudáfrica,Thamsanqa Mkhize
Grupo A,Sudáfrica,Khanyisile Mayo
Grupo A,Sudáfrica,Ronwen Williams
Grupo A,Sudáfrica,Lehlogonolo Masalesa
Grupo A,Sudáfrica,Lyle Foster
Grupo A,Corea del Sur,Son Heung-Min
Grupo A,Corea del Sur,Lee Kang-In
Grupo A,Corea del Sur,Kim Min-Jae
Grupo A,Corea del Sur,Hwang In-Beom
Grupo A,Corea del Sur,Choi Seung-Yong
Grupo A,Corea del Sur,Lee Byung-Hun
Grupo A,Corea del Sur,Jo Hyeon-Woo
Grupo A,Corea del Sur,Park Yong-Woo
Grupo A,Corea del Sur,Park Chu-Young
Grupo A,Corea del Sur,Lee Jae-Sung
Grupo A,República Checa,Patrik Schick
Grupo A,República Checa,Vladimír Krejčí
Grupo A,República Checa,Jakub Brabec
Grupo A,República Checa,Tomáš Vaclík
Grupo A,República Checa,Tomáš Holes
Grupo A,República Checa,Matěj Kovář
Grupo A,República Checa,David Jurasek
Grupo A,República Checa,Tomáš Souček
Grupo A,República Checa,Michal Sadílek
Grupo A,República Checa,Vladimír Coufal
Grupo B,Canadá,Alphonso Davies
Grupo B,Canadá,Jonathan David
Grupo B,Canadá,Tajon Buchanan
Grupo B,Canadá,Cyle Larin
Grupo B,Canadá,Ismael Koné
Grupo B,Canadá,Liam Millar
Grupo B,Canadá,Maxime Crépeau
Grupo B,Canadá,Ayo Akinola
Grupo B,Canadá,Scott Kennedy
Grupo B,Canadá,Richie Laryea
Grupo B,Bosnia y Herzegovina,Edin Džeko
Grupo B,Bosnia y Herzegovina,Miralem Pjanić
Grupo B,Bosnia y Herzegovina,Sead Kolašinac
Grupo B,Bosnia y Herzegovina,Rade Krunić
Grupo B,Bosnia y Herzegovina,Dino Begović
Grupo B,Bosnia y Herzegovina,Tino Anjorin
Grupo B,Bosnia y Herzegovina,Elvir Bolić
Grupo B,Bosnia y Herzegovina,Nikola Vasilj
Grupo B,Bosnia y Herzegovina,Duško Tošić
Grupo B,Bosnia y Herzegovina,Torgeir Børven
Grupo B,Qatar,Akram Afif
Grupo B,Qatar,Almoez Ali
Grupo B,Qatar,Pedro Miguel Correia
Grupo B,Qatar,Ali Assadalla
Grupo B,Qatar,Meshaal Barsham
Grupo B,Qatar,Abdelaziz Hatim
Grupo B,Qatar,Saad Al-Sheeb
Grupo B,Qatar,Boualem Khoukhi
Grupo B,Qatar,Homam Ahmed
Grupo B,Qatar,Mohammed Waad
Grupo B,Suiza,Xherdan Shaqiri
Grupo B,Suiza,Granit Xhaka
Grupo B,Suiza,Manuel Akanji
Grupo B,Suiza,Yann Sommer
Grupo B,Suiza,Ricardo Rodríguez
Grupo B,Suiza,Remo Freuler
Grupo B,Suiza,Silvan Widmer
Grupo B,Suiza,Rubén Vargas
Grupo B,Suiza,Gregor Kobel
Grupo B,Suiza,Becir Omeragic
Grupo C,Brasil,Neymar Jr.
Grupo C,Brasil,Vinícius Jr.
Grupo C,Brasil,Rodrygo Goes
Grupo C,Brasil,Marquinhos
Grupo C,Brasil,Thiago Silva
Grupo C,Brasil,Bruno Guimarães
Grupo C,Brasil,Casemiro
Grupo C,Brasil,Lucas Paquetá
Grupo C,Brasil,Alisson
Grupo C,Brasil,Richarlison
Grupo C,Marruecos,Hakim Ziyech
Grupo C,Marruecos,Achraf Hakimi
Grupo C,Marruecos,Sofyan Amrabat
Grupo C,Marruecos,Romain Saïss
Grupo C,Marruecos,Noussair Mazraoui
Grupo C,Marruecos,Youssef En-Nesyri
Grupo C,Marruecos,Nayef Aguerd
Grupo C,Marruecos,Bono
Grupo C,Marruecos,Abdelhamid Sabiri
Grupo C,Marruecos,Badr Benoun
Grupo C,Haití,Duckens Nazon
Grupo C,Haití,Kenson Sévère
Grupo C,Haití,Frantzdy Pierrot
Grupo C,Haití,Johnny Placide
Grupo C,Haití,Johnathan Oméa
Grupo C,Haití,Wilde Donald
Grupo C,Haití,Carlens Arcus
Grupo C,Haití,Frednel Expédit
Grupo C,Haití,Jean-Kévin Duverne
Grupo C,Haití,Leverton Pierre
Grupo C,Escocia,Kieran Tierney
Grupo C,Escocia,John McGinn
Grupo C,Escocia,Andy Robertson
Grupo C,Escocia,Craig Gordon
Grupo C,Escocia,Callum McGregor
Grupo C,Escocia,Scott McKenna
Grupo C,Escocia,Grant Hanley
Grupo C,Escocia,Lawrence Shankland
Grupo C,Escocia,Che Adams
Grupo C,Escocia,Stuart Armstrong
Grupo D,Estados Unidos,Christian Pulisic
Grupo D,Estados Unidos,Weston McKennie
Grupo D,Estados Unidos,Gio Reyna
Grupo D,Estados Unidos,Tyler Adams
Grupo D,Estados Unidos,Yunus Musah
Grupo D,Estados Unidos,Sergiño Dest
Grupo D,Estados Unidos,Joe Scally
Grupo D,Estados Unidos,Antonee Robinson
Grupo D,Estados Unidos,Folarin Balogun
Grupo D,Estados Unidos,Ricardo Pepi
Grupo D,Paraguay,Ángel Romero
Grupo D,Paraguay,Gustavo Gómez
Grupo D,Paraguay,Julio Enciso
Grupo D,Paraguay,Roque Santa Cruz
Grupo D,Paraguay,Antony Silva
Grupo D,Paraguay,Alfredo Talavera
Grupo D,Paraguay,Óscar Cardozo
Grupo D,Paraguay,Roberto Fernández
Grupo D,Paraguay,Iván Torres
Grupo D,Paraguay,Derlis González
Grupo D,Australia,Harry Souttar
Grupo D,Australia,Mitch Duke
Grupo D,Australia,Ajdin Hrustic
Grupo D,Australia,Matt Ryan
Grupo D,Australia,Danny Vukovic
Grupo D,Australia,Keanu Baccus
Grupo D,Australia,Craig Goodwin
Grupo D,Australia,Milos Degenek
Grupo D,Australia,Aziz Behich
Grupo D,Australia,Jackson Irvine
Grupo D,Turquía,Arda Güler
Grupo D,Turquía,Kenan Yildiz
Grupo D,Turquía,Cengiz Ünder
Grupo D,Turquía,Okay Yöksel
Grupo D,Turquía,Mert Müldür
Grupo D,Turquía,Kaan Ayhan
Grupo D,Turquía,Burak Yilmaz
Grupo D,Turquía,Merih Demiral
Grupo D,Turquía,Yilmaz Dumlupinar
Grupo D,Turquía,Serdar Aziz
Grupo E,Alemania,Florian Wirtz
Grupo E,Alemania,Jamal Musiala
Grupo E,Alemania,Joshua Kimmich
Grupo E,Alemania,Antonio Rüdiger
Grupo E,Alemania,Manuel Neuer
Grupo E,Alemania,Thomas Müller
Grupo E,Alemania,Ilkay Gündoğan
Grupo E,Alemania,Niklas Süle
Grupo E,Alemania,Serge Gnabry
Grupo E,Alemania,Timo Werner
Grupo E,Curazao,Rangelo Janga
Grupo E,Curazao,Coli David
Grupo E,Curazao,Anass Ahannach
Grupo E,Curazao,Eloy Room
Grupo E,Curazao,Jorn Otten
Grupo E,Curazao,Nick Marsman
Grupo E,Curazao,Gervane Kastaneer
Grupo E,Curazao,Kenji Gorré
Grupo E,Curazao,Sontje Hansen
Grupo E,Curazao,Tahith Chong
Grupo E,Costa de Marfil,Nicolás Pépé
Grupo E,Costa de Marfil,Wilfried Zaha
Grupo E,Costa de Marfil,Serge Aurier
Grupo E,Costa de Marfil,Alassane Gory
Grupo E,Costa de Marfil,Ghislain Konan
Grupo E,Costa de Marfil,Jean-Michel Seri
Grupo E,Costa de Marfil,Youssouf Bah
Grupo E,Costa de Marfil,Max-Alain Gradel
Grupo E,Costa de Marfil,Franck Kessié
Grupo E,Costa de Marfil,Hervé Koffi
Grupo E,Ecuador,Enner Valencia
Grupo E,Ecuador,Alex Ibáñez
Grupo E,Ecuador,Moisés Caicedo
Grupo E,Ecuador,Hernán Galíndez
Grupo E,Ecuador,Carlos Gruezo
Grupo E,Ecuador,Piero Hincapié
Grupo E,Ecuador,Jeremy Sarmiento
Grupo E,Ecuador,Alexander Domínguez
Grupo E,Ecuador,Félix Torres
Grupo E,Ecuador,Gonzalo Plata
Grupo F,Países Bajos,Virgil van Dijk
Grupo F,Países Bajos,Xavi Simons
Grupo F,Países Bajos,Frenkie de Jong
Grupo F,Países Bajos,Cody Gakpo
Grupo F,Países Bajos,Memphis Depay
Grupo F,Países Bajos,Nathan Aké
Grupo F,Países Bajos,Joshua Zirkzee
Grupo F,Países Bajos,Denzel Dumfries
Grupo F,Países Bajos,Davy Klaassen
Grupo F,Países Bajos,Jerdy Schouten
Grupo F,Japón,Takehiro Tomiyasu
Grupo F,Japón,Takefusa Kubo
Grupo F,Japón,Maya Yoshida
Grupo F,Japón,Hiroki Ito
Grupo F,Japón,Tomoki Hayakawa
Grupo F,Japón,Keisuke Osako
Grupo F,Japón,Ko Itakura
Grupo F,Japón,Tsuyoshi Watanabe
Grupo F,Japón,Yukinari Sugawara
Grupo F,Japón,Wataru Endo
Grupo F,Suecia,Alexander Isak
Grupo F,Suecia,Viktor Gyökeres
Grupo F,Suecia,Dejan Kulusevski
Grupo F,Suecia,Jens Cajuste
Grupo F,Suecia,Lucas Bergvall
Grupo F,Suecia,Victor Lindelöf
